,Entity,Code,Year,Period life expectancy at birth - Sex: all - Age: 0
72,Africa,,1770,26.4
73,Africa,,1925,26.4
74,Africa,,1950,37.6235
75,Africa,,1951,37.9309
76,Africa,,1952,38.443
77,Africa,,1953,38.9152
78,Africa,,1954,39.2991
79,Africa,,1955,39.8008
80,Africa,,1956,40.1704
81,Africa,,1957,40.0129
82,Africa,,1958,40.303
83,Africa,,1959,41.2823
84,Africa,,1960,41.4816
85,Africa,,1961,41.8692
86,Africa,,1962,42.3208
87,Africa,,1963,42.7767
88,Africa,,1964,43.2464
89,Africa,,1965,43.4401
90,Africa,,1966,43.433
91,Africa,,1967,43.6456
92,Africa,,1968,44.1023
93,Africa,,1969,44.3156
94,Africa,,1970,44.7834
95,Africa,,1971,45.322
96,Africa,,1972,45.4068
97,Africa,,1973,46.1543
98,Africa,,1974,46.4601
99,Africa,,1975,46.903
100,Africa,,1976,47.6398
101,Africa,,1977,48.1637
102,Africa,,1978,48.5646
103,Africa,,1979,49.0955
104,Africa,,1980,49.5116
105,Africa,,1981,49.9137
106,Africa,,1982,50.2819
107,Africa,,1983,49.5505
108,Africa,,1984,49.7051
109,Africa,,1985,50.0863
110,Africa,,1986,50.5501
111,Africa,,1987,50.8954
112,Africa,,1988,50.4287
113,Africa,,1989,51.6789
114,Africa,,1990,51.6467
115,Africa,,1991,51.485
116,Africa,,1992,51.2365
117,Africa,,1993,51.549
118,Africa,,1994,50.5156
119,Africa,,1995,52.1161
120,Africa,,1996,52.128
121,Africa,,1997,52.3075
122,Africa,,1998,51.8964
123,Africa,,1999,52.7745
124,Africa,,2000,53.3498
125,Africa,,2001,53.6201
126,Africa,,2002,53.9987
127,Africa,,2003,54.4224
128,Africa,,2004,54.8957
129,Africa,,2005,55.4669
130,Africa,,2006,56.1389
131,Africa,,2007,56.73
132,Africa,,2008,57.3081
133,Africa,,2009,58.0158
134,Africa,,2010,58.608
135,Africa,,2011,59.2511
136,Africa,,2012,59.8106
137,Africa,,2013,60.2924
138,Africa,,2014,60.7463
139,Africa,,2015,61.1288
140,Africa,,2016,61.588
141,Africa,,2017,61.9858
142,Africa,,2018,62.3435
143,Africa,,2019,62.688
144,Africa,,2020,62.2342
145,Africa,,2021,61.6609
365,Americas,,1770,34.8
366,Americas,,1830,34.8
367,Americas,,1850,35.1
368,Americas,,1870,35.1
369,Americas,,1900,41.0
370,Americas,,1913,45.1
371,Americas,,1950,58.116535
372,Americas,,1951,58.380806
373,Americas,,1952,58.803745
374,Americas,,1953,59.247337
375,Americas,,1954,59.963135
376,Americas,,1955,60.246532
377,Americas,,1956,60.603485
378,Americas,,1957,60.745056
379,Americas,,1958,61.212376
380,Americas,,1959,61.558346
381,Americas,,1960,61.80732
382,Americas,,1961,62.25979
383,Americas,,1962,62.41015
384,Americas,,1963,62.526306
385,Americas,,1964,62.89323
386,Americas,,1965,63.09759
387,Americas,,1966,63.272923
388,Americas,,1967,63.578182
389,Americas,,1968,63.6167
390,Americas,,1969,63.889507
391,Americas,,1970,63.97181
392,Americas,,1971,64.60218
393,Americas,,1972,64.801865
394,Americas,,1973,65.18238
395,Americas,,1974,65.608505
396,Americas,,1975,66.12243
397,Americas,,1976,66.33444
398,Americas,,1977,66.80778
399,Americas,,1978,67.07002
400,Americas,,1979,67.413704
401,Americas,,1980,67.60014
402,Americas,,1981,68.02618
403,Americas,,1982,68.32327
404,Americas,,1983,68.70117
405,Americas,,1984,68.98525
406,Americas,,1985,69.16918
407,Americas,,1986,69.55379
408,Americas,,1987,69.86552
409,Americas,,1988,70.1082
410,Americas,,1989,70.418915
411,Americas,,1990,70.69617
412,Americas,,1991,70.97822
413,Americas,,1992,71.280075
414,Americas,,1993,71.40328
415,Americas,,1994,71.70575
416,Americas,,1995,71.9336
417,Americas,,1996,72.28241
418,Americas,,1997,72.612305
419,Americas,,1998,72.821526
420,Americas,,1999,73.09786
421,Americas,,2000,73.349495
422,Americas,,2001,73.56241
423,Americas,,2002,73.80509
424,Americas,,2003,73.97127
425,Americas,,2004,74.324066
426,Americas,,2005,74.57749
427,Americas,,2006,74.82221
428,Americas,,2007,74.99746
429,Americas,,2008,75.186874
430,Americas,,2009,75.45351
431,Americas,,2010,75.345955
432,Americas,,2011,75.78988
433,Americas,,2012,75.98362
434,Americas,,2013,76.15026
435,Americas,,2014,76.30933
436,Americas,,2015,76.299194
437,Americas,,2016,76.26651
438,Americas,,2017,76.35949
439,Americas,,2018,76.48758
440,Americas,,2019,76.66325
441,Americas,,2020,74.835236
442,Americas,,2021,74.189156
963,Asia,,1770,27.5
964,Asia,,1885,27.5
965,Asia,,1900,28.0
966,Asia,,1913,28.1
967,Asia,,1950,42.024
968,Asia,,1951,42.9956
969,Asia,,1952,44.2682
970,Asia,,1953,44.8774
971,Asia,,1954,45.7662
972,Asia,,1955,46.3308
973,Asia,,1956,46.8386
974,Asia,,1957,47.3332
975,Asia,,1958,47.8445
976,Asia,,1959,44.3113
977,Asia,,1960,41.7051
978,Asia,,1961,45.3368
979,Asia,,1962,49.631
980,Asia,,1963,50.2813
981,Asia,,1964,50.9491
982,Asia,,1965,50.5795
983,Asia,,1966,51.4792
984,Asia,,1967,52.1418
985,Asia,,1968,53.0428
986,Asia,,1969,53.6282
987,Asia,,1970,53.9314
988,Asia,,1971,53.3624
989,Asia,,1972,55.2811
990,Asia,,1973,55.9197
991,Asia,,1974,56.4214
992,Asia,,1975,56.6852
993,Asia,,1976,57.2105
994,Asia,,1977,58.0184
995,Asia,,1978,58.5302
996,Asia,,1979,59.1162
997,Asia,,1980,59.6039
998,Asia,,1981,60.1084
999,Asia,,1982,60.6145
1000,Asia,,1983,61.0726
1001,Asia,,1984,61.5409
1002,Asia,,1985,61.9822
1003,Asia,,1986,62.4858
1004,Asia,,1987,62.938
1005,Asia,,1988,63.2672
1006,Asia,,1989,63.7009
1007,Asia,,1990,64.0389
1008,Asia,,1991,64.2294
1009,Asia,,1992,64.7535
1010,Asia,,1993,65.1086
1011,Asia,,1994,65.4131
1012,Asia,,1995,65.6966
1013,Asia,,1996,65.9998
1014,Asia,,1997,66.4141
1015,Asia,,1998,66.8629
1016,Asia,,1999,67.2127
1017,Asia,,2000,67.6292
1018,Asia,,2001,68.1255
1019,Asia,,2002,68.5285
1020,Asia,,2003,68.9269
1021,Asia,,2004,69.1634
1022,Asia,,2005,69.615
1023,Asia,,2006,70.0502
1024,Asia,,2007,70.3458
1025,Asia,,2008,70.5111
1026,Asia,,2009,70.9919
1027,Asia,,2010,71.3472
1028,Asia,,2011,71.6749
1029,Asia,,2012,72.0416
1030,Asia,,2013,72.3901
1031,Asia,,2014,72.7841
1032,Asia,,2015,73.1205
1033,Asia,,2016,73.4446
1034,Asia,,2017,73.681
1035,Asia,,2018,73.9909
1036,Asia,,2019,74.1876
1037,Asia,,2020,73.7415
1038,Asia,,2021,72.5321
5671,Europe,,1770,34.3
5672,Europe,,1800,33.3
5673,Europe,,1820,35.6
5674,Europe,,1850,36.3
5675,Europe,,1870,36.2
5676,Europe,,1900,42.7
5677,Europe,,1913,46.8
5678,Europe,,1950,62.8339
5679,Europe,,1951,62.8139
5680,Europe,,1952,64.0474
5681,Europe,,1953,64.6766
5682,Europe,,1954,65.4561
5683,Europe,,1955,66.0483
5684,Europe,,1956,66.9404
5685,Europe,,1957,66.9463
5686,Europe,,1958,68.1967
5687,Europe,,1959,68.1442
5688,Europe,,1960,68.7532
5689,Europe,,1961,69.0898
5690,Europe,,1962,68.8944
5691,Europe,,1963,69.2004
5692,Europe,,1964,69.8664
5693,Europe,,1965,69.7955
5694,Europe,,1966,70.0242
5695,Europe,,1967,70.0139
5696,Europe,,1968,69.9132
5697,Europe,,1969,69.6398
5698,Europe,,1970,69.9716
5699,Europe,,1971,70.1067
5700,Europe,,1972,70.3388
