,Entity,Code,Year,Period life expectancy at birth - Sex: all - Age: 0
7731,High-income countries,,1950,61.5421
7732,High-income countries,,1951,62.5624
7733,High-income countries,,1952,64.3204
7734,High-income countries,,1953,64.9871
7735,High-income countries,,1954,65.9261
7736,High-income countries,,1955,66.3525
7737,High-income countries,,1956,66.5681
7738,High-income countries,,1957,66.6088
7739,High-income countries,,1958,67.5345
7740,High-income countries,,1959,67.6806
7741,High-income countries,,1960,68.0259
7742,High-income countries,,1961,68.4508
7743,High-income countries,,1962,68.4047
7744,High-income countries,,1963,68.6483
7745,High-income countries,,1964,69.2273
7746,High-income countries,,1965,69.3364
7747,High-income countries,,1966,69.6036
7748,High-income countries,,1967,69.8865
7749,High-income countries,,1968,69.813
7750,High-income countries,,1969,69.865
7751,High-income countries,,1970,70.231
7752,High-income countries,,1971,70.5412
7753,High-income countries,,1972,70.8229
7754,High-income countries,,1973,70.9945
7755,High-income countries,,1974,71.3969
7756,High-income countries,,1975,71.6482
7757,High-income countries,,1976,71.9129
7758,High-income countries,,1977,72.3223
7759,High-income countries,,1978,72.5076
7760,High-income countries,,1979,72.8797
7761,High-income countries,,1980,72.8925
7762,High-income countries,,1981,73.3301
7763,High-income countries,,1982,73.6572
7764,High-income countries,,1983,73.7137
7765,High-income countries,,1984,74.0913
7766,High-income countries,,1985,74.1483
7767,High-income countries,,1986,74.4238
7768,High-income countries,,1987,74.7184
7769,High-income countries,,1988,74.8671
7770,High-income countries,,1989,75.0863
7771,High-income countries,,1990,75.2892
7772,High-income countries,,1991,75.4748
7773,High-income countries,,1992,75.7703
7774,High-income countries,,1993,75.8256
7775,High-income countries,,1994,76.1382
7776,High-income countries,,1995,76.2362
7777,High-income countries,,1996,76.5579
7778,High-income countries,,1997,76.9059
7779,High-income countries,,1998,77.1132
7780,High-income countries,,1999,77.2578
7781,High-income countries,,2000,77.6258
7782,High-income countries,,2001,77.9016
7783,High-income countries,,2002,78.0455
7784,High-income countries,,2003,78.1265
7785,High-income countries,,2004,78.5874
7786,High-income countries,,2005,78.6936
7787,High-income countries,,2006,79.0584
7788,High-income countries,,2007,79.2614
7789,High-income countries,,2008,79.4636
7790,High-income countries,,2009,79.764
7791,High-income countries,,2010,79.9826
7792,High-income countries,,2011,80.1548
7793,High-income countries,,2012,80.284
7794,High-income countries,,2013,80.4795
7795,High-income countries,,2014,80.7093
7796,High-income countries,,2015,80.6011
7797,High-income countries,,2016,80.8003
7798,High-income countries,,2017,80.842
7799,High-income countries,,2018,80.9854
7800,High-income countries,,2019,81.2152
7801,High-income countries,,2020,80.3735
7802,High-income countries,,2021,80.2685
10720,Low-income countries,,1950,31.5921
10721,Low-income countries,,1951,33.4415
10722,Low-income countries,,1952,36.3362
10723,Low-income countries,,1953,37.2616
10724,Low-income countries,,1954,38.2097
10725,Low-income countries,,1955,38.6725
10726,Low-income countries,,1956,39.0472
10727,Low-income countries,,1957,38.3675
10728,Low-income countries,,1958,38.6299
10729,Low-income countries,,1959,40.0969
10730,Low-income countries,,1960,40.4908
10731,Low-income countries,,1961,40.7984
10732,Low-income countries,,1962,41.1083
10733,Low-income countries,,1963,41.2714
10734,Low-income countries,,1964,41.8955
10735,Low-income countries,,1965,41.9532
10736,Low-income countries,,1966,41.7574
10737,Low-income countries,,1967,42.5116
10738,Low-income countries,,1968,42.8813
10739,Low-income countries,,1969,43.1525
10740,Low-income countries,,1970,43.4813
10741,Low-income countries,,1971,44.0102
10742,Low-income countries,,1972,43.645
10743,Low-income countries,,1973,44.5215
10744,Low-income countries,,1974,44.5296
10745,Low-income countries,,1975,44.7818
10746,Low-income countries,,1976,45.5061
10747,Low-income countries,,1977,45.8213
10748,Low-income countries,,1978,46.0041
10749,Low-income countries,,1979,46.4197
10750,Low-income countries,,1980,46.7442
10751,Low-income countries,,1981,47.0009
10752,Low-income countries,,1982,47.1281
10753,Low-income countries,,1983,45.5786
10754,Low-income countries,,1984,45.2647
10755,Low-income countries,,1985,45.6881
10756,Low-income countries,,1986,46.6379
10757,Low-income countries,,1987,47.2288
10758,Low-income countries,,1988,46.3073
10759,Low-income countries,,1989,48.6196
10760,Low-income countries,,1990,48.6336
10761,Low-income countries,,1991,48.4441
10762,Low-income countries,,1992,48.2257
10763,Low-income countries,,1993,49.1192
10764,Low-income countries,,1994,47.2652
10765,Low-income countries,,1995,50.1269
10766,Low-income countries,,1996,50.2787
10767,Low-income countries,,1997,50.7284
10768,Low-income countries,,1998,49.9534
10769,Low-income countries,,1999,51.553
10770,Low-income countries,,2000,52.5474
10771,Low-income countries,,2001,53.0727
10772,Low-income countries,,2002,53.5847
10773,Low-income countries,,2003,54.5762
10774,Low-income countries,,2004,55.1323
10775,Low-income countries,,2005,55.7727
10776,Low-income countries,,2006,56.6271
10777,Low-income countries,,2007,57.3342
10778,Low-income countries,,2008,57.977
10779,Low-income countries,,2009,58.7361
10780,Low-income countries,,2010,59.3013
10781,Low-income countries,,2011,59.9252
10782,Low-income countries,,2012,60.2932
10783,Low-income countries,,2013,60.7187
10784,Low-income countries,,2014,61.1275
10785,Low-income countries,,2015,61.5771
10786,Low-income countries,,2016,62.1108
10787,Low-income countries,,2017,62.5232
10788,Low-income countries,,2018,62.9042
10789,Low-income countries,,2019,63.3433
10790,Low-income countries,,2020,62.9125
10791,Low-income countries,,2021,62.4518
10792,Lower-middle-income countries,,1950,41.1291
10793,Lower-middle-income countries,,1951,41.4312
10794,Lower-middle-income countries,,1952,42.0359
10795,Lower-middle-income countries,,1953,42.4533
10796,Lower-middle-income countries,,1954,43.2223
10797,Lower-middle-income countries,,1955,43.8531
10798,Lower-middle-income countries,,1956,44.3525
10799,Lower-middle-income countries,,1957,44.8301
10800,Lower-middle-income countries,,1958,45.3205
10801,Lower-middle-income countries,,1959,45.8773
10802,Lower-middle-income countries,,1960,46.2509
10803,Lower-middle-income countries,,1961,46.6246
10804,Lower-middle-income countries,,1962,47.036
10805,Lower-middle-income countries,,1963,47.4267
10806,Lower-middle-income countries,,1964,47.8645
10807,Lower-middle-income countries,,1965,46.7393
10808,Lower-middle-income countries,,1966,47.6997
10809,Lower-middle-income countries,,1967,48.172
10810,Lower-middle-income countries,,1968,49.1493
10811,Lower-middle-income countries,,1969,49.5841
10812,Lower-middle-income countries,,1970,49.5594
10813,Lower-middle-income countries,,1971,48.1704
10814,Lower-middle-income countries,,1972,50.688
10815,Lower-middle-income countries,,1973,51.2425
10816,Lower-middle-income countries,,1974,51.7223
10817,Lower-middle-income countries,,1975,51.9095
10818,Lower-middle-income countries,,1976,52.4152
10819,Lower-middle-income countries,,1977,53.4342
10820,Lower-middle-income countries,,1978,53.9609
10821,Lower-middle-income countries,,1979,54.515
10822,Lower-middle-income countries,,1980,55.0244
10823,Lower-middle-income countries,,1981,55.456
10824,Lower-middle-income countries,,1982,55.9337
10825,Lower-middle-income countries,,1983,56.4392
10826,Lower-middle-income countries,,1984,56.9242
10827,Lower-middle-income countries,,1985,57.3469
10828,Lower-middle-income countries,,1986,57.7919
10829,Lower-middle-income countries,,1987,58.1304
10830,Lower-middle-income countries,,1988,58.4781
10831,Lower-middle-income countries,,1989,58.8682
10832,Lower-middle-income countries,,1990,59.1626
10833,Lower-middle-income countries,,1991,59.345
10834,Lower-middle-income countries,,1992,59.7419
10835,Lower-middle-income countries,,1993,59.9483
10836,Lower-middle-income countries,,1994,60.171
10837,Lower-middle-income countries,,1995,60.4107
10838,Lower-middle-income countries,,1996,60.6632
10839,Lower-middle-income countries,,1997,61.039
10840,Lower-middle-income countries,,1998,61.4338
10841,Lower-middle-income countries,,1999,61.8708
10842,Lower-middle-income countries,,2000,62.1728
10843,Lower-middle-income countries,,2001,62.5146
10844,Lower-middle-income countries,,2002,62.9393
10845,Lower-middle-income countries,,2003,63.2993
10846,Lower-middle-income countries,,2004,63.5065
10847,Lower-middle-income countries,,2005,64.0004
10848,Lower-middle-income countries,,2006,64.432
10849,Lower-middle-income countries,,2007,64.7274
10850,Lower-middle-income countries,,2008,64.9001
10851,Lower-middle-income countries,,2009,65.3699
10852,Lower-middle-income countries,,2010,65.6988
10853,Lower-middle-income countries,,2011,66.1636
10854,Lower-middle-income countries,,2012,66.5505
10855,Lower-middle-income countries,,2013,66.9433
10856,Lower-middle-income countries,,2014,67.375
10857,Lower-middle-income countries,,2015,67.7554
10858,Lower-middle-income countries,,2016,68.1173
10859,Lower-middle-income countries,,2017,68.4207
10860,Lower-middle-income countries,,2018,68.6668
10861,Lower-middle-income countries,,2019,68.8595
10862,Lower-middle-income countries,,2020,68.1427
10863,Lower-middle-income countries,,2021,66.4477
12045,Middle-income countries,,1950,43.5208
12046,Middle-income countries,,1951,44.0358
12047,Middle-income countries,,1952,44.8335
12048,Middle-income countries,,1953,45.3875
12049,Middle-income countries,,1954,46.1567
12050,Middle-income countries,,1955,46.739
12051,Middle-income countries,,1956,47.3652
12052,Middle-income countries,,1957,47.8456
12053,Middle-income countries,,1958,48.3754
12054,Middle-income countries,,1959,45.4627
12055,Middle-income countries,,1960,43.3359
12056,Middle-income countries,,1961,46.4914
12057,Middle-income countries,,1962,50.0927
12058,Middle-income countries,,1963,50.7009
12059,Middle-income countries,,1964,51.3028
12060,Middle-income countries,,1965,50.9999
12061,Middle-income countries,,1966,51.7728
12062,Middle-income countries,,1967,52.2408
12063,Middle-income countries,,1968,53.039
12064,Middle-income countries,,1969,53.5019
12065,Middle-income countries,,1970,53.7837
12066,Middle-income countries,,1971,53.4062
12067,Middle-income countries,,1972,55.0333
12068,Middle-income countries,,1973,55.6324
12069,Middle-income countries,,1974,56.1063
12070,Middle-income countries,,1975,56.3701
12071,Middle-income countries,,1976,56.8463
12072,Middle-income countries,,1977,57.5921
12073,Middle-income countries,,1978,58.0624
12074,Middle-income countries,,1979,58.5612
12075,Middle-income countries,,1980,59.0258
12076,Middle-income countries,,1981,59.4879
12077,Middle-income countries,,1982,59.9702
12078,Middle-income countries,,1983,60.395
12079,Middle-income countries,,1984,60.8067
12080,Middle-income countries,,1985,61.2288
12081,Middle-income countries,,1986,61.7835
12082,Middle-income countries,,1987,62.1559
12083,Middle-income countries,,1988,62.4365
12084,Middle-income countries,,1989,62.7899
12085,Middle-income countries,,1990,63.0178
12086,Middle-income countries,,1991,63.1318
12087,Middle-income countries,,1992,63.4334
12088,Middle-income countries,,1993,63.5319
12089,Middle-income countries,,1994,63.6982
12090,Middle-income countries,,1995,63.977
12091,Middle-income countries,,1996,64.2709
12092,Middle-income countries,,1997,64.6386
12093,Middle-income countries,,1998,65.0165
12094,Middle-income countries,,1999,65.2623
12095,Middle-income countries,,2000,65.5669
12096,Middle-income countries,,2001,65.9617
12097,Middle-income countries,,2002,66.2777
12098,Middle-income countries,,2003,66.5872
12099,Middle-income countries,,2004,66.8668
12100,Middle-income countries,,2005,67.2982
12101,Middle-income countries,,2006,67.7607
12102,Middle-income countries,,2007,68.0887
12103,Middle-income countries,,2008,68.3053
12104,Middle-income countries,,2009,68.7989
12105,Middle-income countries,,2010,69.1105
12106,Middle-income countries,,2011,69.5613
12107,Middle-income countries,,2012,69.9571
12108,Middle-income countries,,2013,70.3152
12109,Middle-income countries,,2014,70.6927
12110,Middle-income countries,,2015,71.0022
12111,Middle-income countries,,2016,71.3094
12112,Middle-income countries,,2017,71.5609
12113,Middle-income countries,,2018,71.8329
12114,Middle-income countries,,2019,72.028
12115,Middle-income countries,,2020,71.3025
12116,Middle-income countries,,2021,70.1139
13593,No income group available,,1950,51.0482
13594,No income group available,,1951,51.6399
13595,No income group available,,1952,52.3567
13596,No income group available,,1953,53.0005
13597,No income group available,,1954,53.5927
13598,No income group available,,1955,54.6759
13599,No income group available,,1956,55.307
13600,No income group available,,1957,55.6674
13601,No income group available,,1958,56.6031
13602,No income group available,,1959,57.5345
13603,No income group available,,1960,58.5123
13604,No income group available,,1961,59.2628
13605,No income group available,,1962,59.3918
13606,No income group available,,1963,60.0088
13607,No income group available,,1964,60.4595
13608,No income group available,,1965,61.0839
13609,No income group available,,1966,61.6286
13610,No income group available,,1967,62.166
13611,No income group available,,1968,62.7358
13612,No income group available,,1969,63.0313
13613,No income group available,,1970,64.0893
13614,No income group available,,1971,64.7169
13615,No income group available,,1972,65.2098
13616,No income group available,,1973,65.7346
13617,No income group available,,1974,66.3333
13618,No income group available,,1975,66.7787
13619,No income group available,,1976,67.3449
13620,No income group available,,1977,67.7325
13621,No income group available,,1978,68.0762
13622,No income group available,,1979,68.2738
13623,No income group available,,1980,68.4326
13624,No income group available,,1981,69.1424
13625,No income group available,,1982,69.4247
13626,No income group available,,1983,69.8995
13627,No income group available,,1984,70.1536
13628,No income group available,,1985,70.322
13629,No income group available,,1986,70.7699
13630,No income group available,,1987,70.7905
13631,No income group available,,1988,71.0375
13632,No income group available,,1989,71.127
13633,No income group available,,1990,71.3736
13634,No income group available,,1991,71.677
13635,No income group available,,1992,71.6608
13636,No income group available,,1993,71.787
13637,No income group available,,1994,71.7239
13638,No income group available,,1995,72.0176
13639,No income group available,,1996,71.9902
13640,No income group available,,1997,72.5701
13641,No income group available,,1998,72.5471
13642,No income group available,,1999,72.1452
13643,No income group available,,2000,72.3684
13644,No income group available,,2001,71.1174
13645,No income group available,,2002,72.5587
13646,No income group available,,2003,71.8544
13647,No income group available,,2004,72.4239
13648,No income group available,,2005,72.6918
13649,No income group available,,2006,72.6568
13650,No income group available,,2007,72.9732
13651,No income group available,,2008,72.3674
13652,No income group available,,2009,72.5136
13653,No income group available,,2010,72.8242
13654,No income group available,,2011,72.8537
